name,pred,exp_tm
1,43.54,34.8
2,53.39,39.8
3,52.77,41.5
4,47.61,41.6
5,45.52,42.1
6,51.44,43.2
7,48.52,43.7
8,48.9,44.2
9,50.1,44.5
10,45.19,44.6
11,53.89,45.0
12,49.07,45.8
13,53.1,46.0
14,66.48,46.5
15,51.41,46.7
16,45.84,47.0
17,50.58,47.6
18,47.03,47.8
19,49.84,48.0
20,51.4,48.3
21,51.87,49.2
22,52.44,49.2
23,47.95,49.3
24,50.2,49.3
25,48.5,49.6
26,52.38,50.4
27,49.45,50.5
28,47.06,51.0
29,46.8,51.0
30,56.53,51.0
31,46.57,51.0
32,51.78,52.5
33,47.39,51.4
34,51.62,51.5
35,45.18,51.5
36,44.34,51.5
37,53.22,51.9
38,,52.0
39,53.0,52.1
40,53.26,52.1
41,51.71,52.3
42,49.5,52.5
43,52.87,52.6
44,47.61,52.6
45,47.05,52.7
46,50.54,52.9
47,52.1,53.0
48,51.59,53.0
49,56.94,53.2
50,50.53,53.6
51,53.44,53.6
52,53.64,53.7
53,49.43,53.8
54,53.16,53.9
55,54.15,53.9
56,48.88,54.0
57,49.28,54.0
58,51.29,54.4
59,49.53,54.6
60,48.89,54.6
61,48.14,55.0
62,50.17,56.0
63,,56.2
64,49.73,56.5
65,46.5,56.7
66,50.45,56.9
67,46.22,57.0
68,52.56,57.1
69,46.16,57.1
70,51.88,57.1
71,57.43,57.2
72,49.35,57.3
73,48.21,57.4
74,53.38,57.5
75,51.5,57.5
76,47.4,57.7
77,49.32,57.8
78,48.57,57.9
79,48.77,58.0
80,55.01,58.0
81,50.28,58.5
82,53.61,58.9
83,49.47,59.0
84,52.71,59.0
85,48.97,59.0
86,51.86,59.0
88,54.57,59.5
89,47.47,60.0
90,51.39,60.0
91,52.17,60.6
92,47.02,60.9
93,54.36,61.0
94,48.89,61.2
95,50.6,61.4
96,50.96,61.4
97,53.44,62.0
98,53.6,62.2
99,51.29,62.5
100,,62.7
101,51.0,63.0
102,49.24,63.1
103,51.47,63.2
104,48.95,63.5
105,53.53,63.6
106,53.69,63.7
107,52.41,64.0
108,53.53,64.3
109,47.86,64.4
110,65.43,64.6
111,51.88,64.7
112,50.6,64.9
113,53.08,64.9
114,55.99,64.9
115,45.9,65.0
116,48.13,65.0
117,50.28,65.0
118,53.0,65.1
119,51.07,65.2
120,53.32,65.5
121,56.0,66.0
122,52.74,66.0
123,52.5,66.0
124,73.84,66.2
125,53.13,66.2
126,50.93,66.4
127,48.03,66.6
128,51.67,66.7
129,49.28,66.9
130,52.97,67.0
131,52.27,67.0
132,54.57,67.2
133,54.33,67.6
134,54.42,67.7
135,53.68,68.5
137,54.61,68.7
138,51.64,68.9
139,52.87,69.0
140,48.96,69.0
141,48.8,69.8
142,52.43,69.2
143,49.54,69.6
144,51.87,70.0
145,51.29,70.0
146,51.27,70.0
147,53.56,70.2
148,53.08,70.2
149,67.34,70.4
150,52.05,70.6
151,48.89,70.7
152,49.74,71.0
153,50.09,71.2
154,47.67,71.2
155,52.2,72.0
156,50.96,72.4
157,56.84,72.9
158,50.91,73.0
159,51.36,73.3
160,54.18,73.9
161,56.3,74.0
162,50.73,74.3
163,48.87,75.5
164,53.03,76.0
165,50.37,76.8
166,54.69,76.9
167,55.7,77.6
168,,78.0
169,52.27,78.0
170,53.7,78.3
171,50.88,79.4
172,74.95,79.4
173,54.42,79.4
174,51.27,79.5
175,54.1,80.1
176,53.01,80.2
177,53.15,80.2
178,50.24,80.8
179,,81.6
180,52.34,82.0
181,53.93,82.2
182,60.19,84.3
183,50.77,84.8
184,54.02,85.2
185,75.49,85.2
186,47.84,85.8
187,54.44,85.9
188,50.42,86.0
189,53.22,86.0
190,48.09,86.5
191,58.25,87.5
192,51.99,87.5
193,53.12,87.8
194,52.62,88.0
195,83.73,88.0
196,51.82,88.3
197,59.82,89.0
198,,90.0
199,56.86,90.0
200,54.82,90.1
201,49.43,90.3
202,76.81,90.3
203,71.68,91.0
204,80.43,91.0
205,80.74,93.8
206,76.44,94.9
207,56.85,98.6
208,67.25,99.0
209,73.3,99.0
210,76.56,100.8
211,72.06,100.9
212,73.18,104.3
213,57.93,104.5
214,73.03,108.0
215,67.33,108.0
216,81.04,111.5
217,83.48,112.7
218,75.72,114.5
219,79.41,120.1
220,51.92,121.6
221,77.64,143.8
222,81.89,148.5
1MBG,,39.3
1DO9,51.58,48.5
1CX1,50.3,49.4
1PRR,56.46,52.6
1ACP,54.1,52.7
1LS4,54.52,53.0
1APC,51.62,54.0
1EXG,62.06,56.4
1BUJ,49.86,56.5
1AG4,49.83,57.9
1BUY,54.04,60.6
1HCD,50.74,61.7
1LCD,50.71,65.0
1QND,53.51,70.5
1OTR,54.77,71.2
1HYW,61.07,71.7
1BTA,46.14,72.0
1TIT,52.71,73.0
1DEC,55.28,74.0
2M3T,51.79,75.0
1K42,53.66,75.8
3AIT,53.58,81.6
1G6P,73.23,82.0
1COK,53.01,93.5
1DVC,52.78,94.5
1BFM,75.72,101.0
